column,dtype,pct_non_null,is_constant
away_fg_blocked_list_matchup_ewma,float64,75.9,False
away_fg_blocked_list_matchup_roll5,float64,3.0,False
away_fg_blocked_list_produced_ewma,float64,84.9,False
away_fg_blocked_list_produced_roll5,float64,16.4,False
away_fg_blocked_matchup_ewma,float64,95.2,False
away_fg_blocked_matchup_roll5,float64,95.2,False
away_fg_blocked_produced_ewma,float64,95.2,False
away_fg_blocked_produced_roll5,float64,95.2,False
away_fg_long_allowed_ewma,float64,99.4,False
away_fg_long_allowed_roll5,float64,99.4,False
away_fg_long_matchup_ewma,float64,94.9,False
away_fg_long_matchup_roll5,float64,94.9,False
away_fg_long_produced_ewma,float64,95.1,False
away_fg_long_produced_roll5,float64,95.1,False
away_fg_made_0_19_allowed_ewma,float64,99.5,False
away_fg_made_0_19_allowed_roll5,float64,99.5,False
away_fg_made_0_19_matchup_ewma,float64,95.2,False
away_fg_made_0_19_matchup_roll5,float64,95.2,False
away_fg_made_0_19_produced_ewma,float64,95.2,False
away_fg_made_0_19_produced_roll5,float64,95.2,False
away_fg_made_20_29_allowed_ewma,float64,99.5,False
away_fg_made_20_29_allowed_roll5,float64,99.5,False
away_fg_made_20_29_matchup_ewma,float64,95.2,False
away_fg_made_20_29_matchup_roll5,float64,95.2,False
away_fg_made_20_29_produced_ewma,float64,95.2,False
away_fg_made_20_29_produced_roll5,float64,95.2,False
away_fg_made_30_39_allowed_ewma,float64,99.5,False
away_fg_made_30_39_allowed_roll5,float64,99.5,False
away_fg_made_30_39_matchup_ewma,float64,95.2,False
away_fg_made_30_39_matchup_roll5,float64,95.2,False
away_fg_made_30_39_produced_ewma,float64,95.2,False
away_fg_made_30_39_produced_roll5,float64,95.2,False
away_fg_made_40_49_allowed_ewma,float64,99.5,False
away_fg_made_40_49_allowed_roll5,float64,99.5,False
away_fg_made_40_49_matchup_ewma,float64,95.2,False
away_fg_made_40_49_matchup_roll5,float64,95.2,False
away_fg_made_40_49_produced_ewma,float64,95.2,False
away_fg_made_40_49_produced_roll5,float64,95.2,False
away_fg_made_50_59_allowed_ewma,float64,99.5,False
away_fg_made_50_59_allowed_roll5,float64,99.5,False
away_fg_made_50_59_matchup_ewma,float64,95.2,False
away_fg_made_50_59_matchup_roll5,float64,95.2,False
away_fg_made_50_59_produced_ewma,float64,95.2,False
away_fg_made_50_59_produced_roll5,float64,95.2,False
away_fg_made_60__allowed_ewma,float64,99.5,False
away_fg_made_60__allowed_roll5,float64,99.5,False
away_fg_made_60__matchup_ewma,float64,95.2,False
away_fg_made_60__matchup_roll5,float64,95.2,False
away_fg_made_60__produced_ewma,float64,95.2,False
away_fg_made_60__produced_roll5,float64,95.2,False
away_fg_made_allowed_ewma,float64,99.5,False
away_fg_made_allowed_roll5,float64,99.5,False
away_fg_made_distance_allowed_ewma,float64,99.5,False
away_fg_made_distance_allowed_roll5,float64,99.5,False
away_fg_made_distance_matchup_ewma,float64,95.2,False
away_fg_made_distance_matchup_roll5,float64,95.2,False
away_fg_made_distance_produced_ewma,float64,95.2,False
away_fg_made_distance_produced_roll5,float64,95.2,False
away_fg_made_list_allowed_ewma,float64,98.9,False
away_fg_made_list_allowed_roll5,float64,82.9,False
