season,week,game_id,home_team,away_team,fav_home,spread,Spread Pick,Odds,Pick Home?,Pick Result
2024-25,13,9,Bengals,Steelers,1,-2.5,Bengals,-110,1,0
2024-25,13,14,Ravens,Eagles,1,-3,Ravens,-110,1,0
2024-25,13,15,Bills,49Ers,1,-6.5,Bills,-110,1,1
2024-25,14,1,Lions,Packers,1,-3.5,Lions,-110,1,0
2024-25,14,2,Buccaneers,Raiders,1,-6.5,Buccaneers,-110,1,1
2024-25,14,9,Cardinals,Seahawks,1,-2.5,Seahawks,-110,0,1
2024-25,14,11,Rams,Bills,0,3.5,Bills,-110,0,0
2024-25,14,13,Cowboys,Bengals,0,5.5,Bengals,-110,0,1
2024-25,15,3,Titans,Bengals,0,4.5,Bengals,-110,0,1
2024-25,15,5,Browns,Chiefs,0,4.5,Browns,-110,1,0
2024-25,15,13,Eagles,Steelers,1,-5.5,Eagles,-110,1,1
2024-25,16,3,Ravens,Steelers,1,-6.5,Ravens,-110,1,1
2024-25,16,9,Bears,Lions,0,6.5,Lions,-110,0,1
2024-25,16,14,Raiders,Jaguars,1,-1.5,Jaguars,-110,0,0
2024-25,16,15,Cowboys,Buccaneers,0,3.5,Buccaneers,-110,0,0
2024-25,17,2,Texans,Ravens,0,5.5,Ravens,-110,0,1
2024-25,17,5,Bengals,Broncos,1,-3,Bengals,-110,1,1
2024-25,17,6,Rams,Cardinals,1,-6.5,Cardinals,-110,0,1
2024-25,17,10,Jets,Bills,0,8.5,Bills,-110,0,1
2025-26,2,5,Ravens,Browns,1,-11.5,Browns,-101,0,0
2025-26,2,8,Lions,Bears,1,-6.5,Bears,-111,0,0
2025-26,2,12,Chiefs,Eagles,0,1.5,Eagles,104,0,1
2025-26,2,13,Vikings,Falcons,1,-3.5,Falcons,-118,0,1
2025-26,2,14,Texans,Buccaneers,1,-2.5,Buccaneers,101,0,1
2025-26,2,15,Raiders,Chargers,0,3.5,Raiders,-116,1,0
2025-26,3,1,Bills,Dolphins,1,-11.5,Bills,101,1,0
2025-26,3,4,Buccaneers,Jets,1,-6.5,Buccaneers,101,1,0
2025-26,3,7,Titans,Colts,0,4.5,Colts,-101,0,1
2025-26,3,9,Panthers,Falcons,0,4.5,Panthers,100,1,1
2025-26,3,13,Bears,Cowboys,0,1.5,Cowboys,108,0,0
2025-26,3,14,Giants,Chiefs,0,6.5,Giants,-114,1,0
2025-26,4,1,Steelers,Vikings,0,2.5,Steelers,100,1,1
2025-26,4,2,Falcons,Commanders,0,1.5,Commanders,110,0,0
2025-26,4,4,Lions,Browns,1,-10.5,Lions,107,1,1
2025-26,4,5,Texans,Titans,1,-7.5,Titans,-116,0,0
2025-26,4,15,Broncos,Bengals,1,-7.5,Broncos,104,1,1
2025-26,5,1,Browns,Vikings,0,3.5,Browns,-105,1,0
2025-26,5,3,Panthers,Dolphins,0,1.5,Panthers,-109,1,1
2025-26,5,5,Saints,Giants,1,-2.5,Giants,-114,0,0
2025-26,5,7,Colts,Raiders,1,-6.5,Colts,-117,1,1
2025-26,5,8,Cardinals,Titans,1,-7.5,Cardinals,-105,1,0
2025-26,5,9,Seahawks,Buccaneers,1,-3.5,Seahawks,100,1,0
2025-26,6,2,Jaguars,Seahawks,1,-1.5,Seahawks,-118,0,1
2025-26,6,4,Colts,Cardinals,1,-7.5,Colts,-104,1,0
2025-26,6,6,Steelers,Browns,1,-5.5,Steelers,-114,1,1
2025-26,6,12,Chiefs,Lions,1,-2.5,Lions,-110,0,0
2025-26,7,1,Bengals,Steelers,0,5.5,Steelers,104,0,0
2025-26,7,3,Browns,Dolphins,1,-2.5,Dolphins,104,0,0
2025-26,7,8,Broncos,Giants,1,-7.5,Broncos,113,1,0
2025-26,7,9,Chargers,Colts,1,-1.5,Colts,102,0,1
2025-26,8,1,Chargers,Vikings,1,-3.5,Vikings,-111,0,0
2025-26,8,2,Ravens,Bears,1,-6.5,Bears,-104,0,0
2025-26,8,3,Bengals,Jets,1,-6.5,Jets,-113,0,1
2025-26,8,5,Texans,49ers,1,-2.5,Texans,-104,1,1
2025-26,8,6,Patriots,Browns,1,-6.5,Patriots,-118,1,1
2025-26,9,1,Texans,Broncos,1,-2.5,Broncos,-110,0,1
2025-26,9,3,Patriots,Falcons,1,-5.5,Patriots,100,1,0
2025-26,9,5,Steelers,Colts,0,3.5,Colts,115,0,0
2025-26,9,11,Bills,Chiefs,0,1.5,Bills,102,1,1
2025-26,10,2,Buccaneers,Patriots,1,-2.5,Patriots,105,0,1
2025-26,10,4,Bears,Giants,1,-5.5,Giants,-113,0,1
2025-26,10,6,Dolphins,Bills,0,9.5,Bills,102,0,0
2025-26,10,7,Vikings,Ravens,0,4.5,Vikings,-111,1,0
2025-26,10,12,Chargers,Steelers,1,-2.5,Chargers,-118,1,1
2025-26,11,1,Dolphins,Commanders,1,-2.5,Commanders,105,0,0
2025-26,11,4,Steelers,Bengals,1,-5.5,Steelers,-104,1,1
2025-26,11,6,Bills,Buccaneers,1,-5.5,Bills,-108,1,1
2025-26,11,7,Jaguars,Chargers,0,2.5,Chargers,-118,0,0
2025-26,11,14,Raiders,Cowboys,0,3.5,Cowboys,102,0,1
2025-26,12,1,Texans,Bills,0,5.5,Texans,102,1,1
2025-26,12,1,Packers,Vikings,1,-6.5,Packers,-104,1,1
2025-26,12,2,Bears,Steelers,1,-2.5,Bears,-107,1,1
2025-26,12,5,Ravens,Jets,1,-13.5,Jets,102,0,1
2025-26,12,12,Rams,Buccaneers,1,-7.5,Rams,111,1,1
2025-26,13,9,Dolphins,Saints,1,-5.5,Saints,-106,0,1
2025-26,13,15,Commanders,Broncos,0,5.5,Commanders,-101,1,1
2025-26,13,16,Patriots,Giants,1,-7.5,Patriots,111,1,1
2025-26,14,4,Jaguars,Colts,0,1.5,Colts,-107,0,0
2025-26,14,6,Falcons,Seahawks,0,6.5,Falcons,104,1,0
2025-26,14,7,Browns,Titans,1,-3.5,Browns,-109,1,0
2025-26,14,8,Bills,Bengals,1,-5.5,Bills,-109,1,0
2025-26,15,2,Giants,Commanders,1,-2.5,Giants,-113,1,0
2025-26,15,4,Bears,Browns,1,-7.5,Browns,-106,0,0
2025-26,15,5,Chiefs,Chargers,1,-5.5,Chiefs,-111,1,0
2025-26,15,10,Saints,Panthers,0,2.5,Panthers,-112,0,0
2025-26,15,15,Steelers,Dolphins,1,-3.5,Steelers,112,1,1
2025-26,16,2,Bears,Packers,1,-1.5,Packers,-100,0,0
2025-26,16,3,Dolphins,Bengals,0,4.5,Dolphins,-111,1,0
2025-26,16,14,Ravens,Patriots,1,-2.5,Patriots,117,0,1
2025-26,17,4,Chargers,Texans,1,-1.5,Chargers,-105,1,0
2025-26,17,14,Bills,Eagles,1,-1.5,Bills,102,1,0
2025-26,17,15,49ers,Bears,1,-3.5,Bears,-115,0,0
2025-26,17,16,Falcons,Rams,0,8.5,Falcons,-110,1,1
